"db","query","family","order","kingdom"
"ncbi","Colias","Pieridae","Lepidoptera","Metazoa"
"ncbi","Colladonus","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Colletes","Colletidae","Hymenoptera","Metazoa"
"ncbi","Colliuris","Carabidae","Coleoptera","Metazoa"
"ncbi","Collops","Melyridae","Coleoptera","Metazoa"
"ncbi","Colon","Leiodidae","Coleoptera","Metazoa"
"ncbi","Conalia",NA,NA,NA
"ncbi","Condylostylus","Dolichopodidae","Diptera","Metazoa"
"ncbi","Conocephalus","Tettigoniidae","Orthoptera","Metazoa"
"ncbi","Conoderus","Elateridae","Coleoptera","Metazoa"
"ncbi","Conopidae","Conopidae","Diptera","Metazoa"
"ncbi","Conotelus","Nitidulidae","Coleoptera","Metazoa"
"ncbi","Conotrachelus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Copestylum","Syrphidae","Diptera","Metazoa"
"ncbi","Copris","Scarabaeidae","Coleoptera","Metazoa"
"ncbi","Coproporus","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Coquillettidia","Culicidae","Diptera","Metazoa"
"ncbi","Cordyla","Mycetophilidae","Diptera","Metazoa"
"ncbi","Corimelaena","Thyreocoridae","Hemiptera","Metazoa"
"ncbi","Corixidae","Corixidae","Hemiptera","Metazoa"
"ncbi","Corthylus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Corticarina","Latridiidae","Coleoptera","Metazoa"
"ncbi","Cortinicara","Latridiidae","Coleoptera","Metazoa"
"ncbi","Corylophidae","Corylophidae","Coleoptera","Metazoa"
"ncbi","Corythucha","Tingidae","Hemiptera","Metazoa"
"ncbi","Cosmobaris","Curculionidae","Coleoptera","Metazoa"
"ncbi","Cosmopepla","Pentatomidae","Hemiptera","Metazoa"
"ncbi","Crabro","Crabronidae","Hymenoptera","Metazoa"
"ncbi","Crambus","Crambidae","Lepidoptera","Metazoa"
"ncbi","Cregya","Cleridae","Coleoptera","Metazoa"
"ncbi","Cremastinae","Ichneumonidae","Hymenoptera","Metazoa"
"ncbi","Crematogaster","Formicidae","Hymenoptera","Metazoa"
"ncbi","Creophilus","Staphylinidae","Coleoptera","Metazoa"
"ncbi","Crepidodera","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Crioceris","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Crossocerus","Crabronidae","Hymenoptera","Metazoa"
"ncbi","Cryphula","Rhyparochromidae","Hemiptera","Metazoa"
"ncbi","Cryptarcha","Nitidulidae","Coleoptera","Metazoa"
"ncbi","Cryptinae","Ichneumonidae","Hymenoptera","Metazoa"
"ncbi","Cryptocephalus","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Cryptophagidae","Cryptophagidae","Coleoptera","Metazoa"
"ncbi","Cryptophagus","Cryptophagidae","Coleoptera","Metazoa"
"ncbi","Cryptophilus","Erotylidae","Coleoptera","Metazoa"
"ncbi","Cryptorhynchus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Ctenicera","Elateridae","Coleoptera","Metazoa"
"ncbi","Culex","Culicidae","Diptera","Metazoa"
"ncbi","Culicidae","Culicidae","Diptera","Metazoa"
"ncbi","Culiseta","Culicidae","Diptera","Metazoa"
"ncbi","Curculio","Curculionidae","Coleoptera","Metazoa"
"ncbi","Curculionidae","Curculionidae","Coleoptera","Metazoa"
"ncbi","Cyanopterus","Braconidae","Hymenoptera","Metazoa"
"ncbi","Cycloneda","Coccinellidae","Coleoptera","Metazoa"
"ncbi","Cycnia","Erebidae","Lepidoptera","Metazoa"
"ncbi","Cydnidae","Cydnidae","Hemiptera","Metazoa"
"ncbi","Cylindrocopturus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Cylindroiulus","Julidae","Julida","Metazoa"
"ncbi","Cymatodera","Cleridae","Coleoptera","Metazoa"
"ncbi","Cymindis","Carabidae","Coleoptera","Metazoa"
"ncbi","Cynipidae","Cynipidae","Hymenoptera","Metazoa"
"ncbi","Cynomya","Calliphoridae","Diptera","Metazoa"
"ncbi","Cyphon","Scirtidae","Coleoptera","Metazoa"
"ncbi","Cyrtepistomus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Cyrtolobus","Membracidae","Hemiptera","Metazoa"
"ncbi","Cyrtophorus","Cerambycidae","Coleoptera","Metazoa"
"ncbi","Dalopius","Elateridae","Coleoptera","Metazoa"
"ncbi","Danaus","Nymphalidae","Lepidoptera","Metazoa"
"ncbi","Dasymutilla","Mutillidae","Hymenoptera","Metazoa"
"ncbi","Deloyala","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Delphacidae","Delphacidae","Hemiptera","Metazoa"
"ncbi","Delphinia","Ulidiidae","Diptera","Metazoa"
"ncbi","Deltocephalus","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Dendroides","Pyrochroidae","Coleoptera","Metazoa"
"ncbi","Dermestes","Dermestidae","Coleoptera","Metazoa"
"ncbi","Dermestidae","Dermestidae","Coleoptera","Metazoa"
"ncbi","Deroceras","Agriolimacidae","Stylommatophora","Metazoa"
"ncbi","Desmia","Crambidae","Lepidoptera","Metazoa"
"ncbi","Destria","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Diabrotica","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Diachus","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Dialictus","Halictidae","Hymenoptera","Metazoa"
"ncbi","Diapriidae","Diapriidae","Hymenoptera","Metazoa"
"ncbi","Diastictis","Crambidae","Lepidoptera","Metazoa"
"ncbi","Dibolia","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Dicaelus","Carabidae","Coleoptera","Metazoa"
"ncbi","Dicerca","Buprestidae","Coleoptera","Metazoa"
"ncbi","Didineis","Crabronidae","Hymenoptera","Metazoa"
"ncbi","Dietzianus",NA,NA,NA
"ncbi","Digrammia","Geometridae","Lepidoptera","Metazoa"
"ncbi","Dikraneura","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Dimorphopterix",NA,NA,NA
"ncbi","Diplocheila","Carabidae","Coleoptera","Metazoa"
"ncbi","Diplocolenus","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Diplotaxis","Scarabaeidae","Coleoptera","Metazoa"
"ncbi","Dipogon","Pompilidae","Hymenoptera","Metazoa"
"ncbi","Dipropus",NA,NA,NA
"ncbi","Diptera",NA,"Diptera","Metazoa"
"ncbi","Dircaea","Melandryidae","Coleoptera","Metazoa"
"ncbi","Dirrhagofarsus",NA,NA,NA
"ncbi","Discus","Endodontidae","Stylommatophora","Metazoa"
"ncbi","Disonycha","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Dissosteira","Acrididae","Orthoptera","Metazoa"
"ncbi","Distigmoptera","Chrysomelidae","Coleoptera","Metazoa"
"ncbi","Dolichomia","Pyralidae","Lepidoptera","Metazoa"
"ncbi","Dolichopodidae","Dolichopodidae","Diptera","Metazoa"
"ncbi","Dolichovespula","Vespidae","Hymenoptera","Metazoa"
"ncbi","Doratura","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Dorcatominae","Anobiidae","Coleoptera","Metazoa"
"ncbi","Dorytomus","Erirhinidae","Coleoptera","Metazoa"
"ncbi","Draeculacephala","Cicadellidae","Hemiptera","Metazoa"
"ncbi","Drassodes","Gnaphosidae","Araneae","Metazoa"
"ncbi","Drassyllus","Gnaphosidae","Araneae","Metazoa"
"ncbi","Dromius","Carabidae","Coleoptera","Metazoa"
"ncbi","Dryinidae","Dryinidae","Hymenoptera","Metazoa"
"ncbi","Drymus","Rhyparochromidae","Hemiptera","Metazoa"
"ncbi","Dryocoetes","Curculionidae","Coleoptera","Metazoa"
"ncbi","Dryophthorus","Curculionidae","Coleoptera","Metazoa"
"ncbi","Dyschirius","Carabidae","Coleoptera","Metazoa"
"ncbi","Dysdera","Dysderidae","Araneae","Metazoa"
"ncbi","Dytiscidae","Dytiscidae","Coleoptera","Metazoa"
"ncbi","Ectemnius","Crabronidae","Hymenoptera","Metazoa"
"ncbi","Ectobius","Ectobiidae","Blattodea","Metazoa"
"ncbi","Ectropis","Geometridae","Lepidoptera","Metazoa"
"ncbi","Ecyrus","Cerambycidae","Coleoptera","Metazoa"
"ncbi","Elampus","Chrysididae","Hymenoptera","Metazoa"
"ncbi","Elaphidion","Cerambycidae","Coleoptera","Metazoa"
"ncbi","Elaphria","Noctuidae","Lepidoptera","Metazoa"
"ncbi","Elaphropus","Carabidae","Coleoptera","Metazoa"
